object_name	relation	subject_id	subject_name
adult sensory neuron	is_a	VFB_0010289s	neuron 189463 (FANC:514581)
adult sensory neuron	is_a	VFB_0010287v	neuron 107378 (FANC:513933)
adult sensory neuron	is_a	VFB_001028b0	neuron 99646 (FANC:515153)
adult sensory neuron	is_a	VFB_001028ba	neuron 113890 (FANC:515279)
adult sensory neuron	is_a	VFB_001028cz	neuron 189871 (FANC:516086)
adult sensory neuron	is_a	VFB_001028ex	neuron 190063 (FANC:517187)
adult sensory neuron	is_a	VFB_001028f4	neuron 190087 (FANC:517284)
adult sensory neuron	is_a	VFB_001027yg	neuron 190106 (FANC:510368)
adult sensory neuron	is_a	VFB_001028fk	neuron 190143 (FANC:517496)
adult sensory neuron	is_a	VFB_0010288g	neuron 193453 (FANC:514076)
adult sensory neuron	is_a	VFB_0010285m	neuron 162498 (FANC:513106)
adult sensory neuron	is_a	VFB_0010285o	neuron 162502 (FANC:513130)
adult sensory neuron	is_a	VFB_0010285q	neuron 162506 (FANC:513153)
adult sensory neuron	is_a	VFB_0010285u	neuron 162510 (FANC:513204)
adult sensory neuron	is_a	VFB_0010285v	neuron 162514 (FANC:513216)
adult sensory neuron	is_a	VFB_0010285z	neuron 162518 (FANC:513268)
adult sensory neuron	is_a	VFB_0010286a	neuron 162522 (FANC:513280)
adult sensory neuron	is_a	VFB_0010286b	neuron 162526 (FANC:513292)
adult sensory neuron	is_a	VFB_0010286g	neuron 162534 (FANC:513403)
adult sensory neuron	is_a	VFB_0010286h	neuron 162538 (FANC:513415)
adult sensory neuron	is_a	VFB_0010286i	neuron 162542 (FANC:513427)
adult sensory neuron	is_a	VFB_0010286j	neuron 162546 (FANC:513439)
adult sensory neuron	is_a	VFB_0010286m	neuron 162550 (FANC:513477)
adult sensory neuron	is_a	VFB_0010286r	neuron 162554 (FANC:513542)
adult sensory neuron	is_a	VFB_0010287n	neuron 99461 (FANC:513828)
adult sensory neuron	is_a	VFB_0010287o	neuron 104196 (FANC:513840)
adult sensory neuron	is_a	VFB_0010287q	neuron 104201 (FANC:513865)
adult sensory neuron	is_a	VFB_0010287y	neuron 104206 (FANC:513971)
adult sensory neuron	is_a	VFB_0010287z	neuron 103696 (FANC:513984)
adult sensory neuron	is_a	VFB_0010288o	neuron 104218 (FANC:514177)
adult sensory neuron	is_a	VFB_0010289h	neuron 103730 (FANC:514435)
adult sensory neuron	is_a	VFB_0010289q	neuron 103748 (FANC:514555)
adult sensory neuron	is_a	VFB_0010289w	neuron 103014 (FANC:514630)
adult sensory neuron	is_a	VFB_001028a3	neuron 102762 (FANC:514719)
adult sensory neuron	is_a	VFB_001028ao	neuron 102880 (FANC:514993)
adult sensory neuron	is_a	VFB_001028b5	neuron 113872 (FANC:515219)
adult sensory neuron	is_a	VFB_001028b6	neuron 113878 (FANC:515231)
adult sensory neuron	is_a	VFB_001028b8	neuron 113884 (FANC:515256)
adult sensory neuron	is_a	VFB_001028bd	neuron 113896 (FANC:515317)
adult sensory neuron	is_a	VFB_001028a4	neuron 193609 (FANC:514731)
adult sensory neuron	is_a	VFB_001028c4	neuron 87359 (FANC:515682)
adult sensory neuron	is_a	VFB_001028kb	haltere sensory neuron - left - R43C10 MCFO D4 (FANC:547793)
adult sensory neuron	is_a	VFB_001028kc	haltere sensory neuron - right - R43C10 MCFO D4 (FANC:547802)
adult sensory neuron	is_a	VFB_0010291l	neuron 229150 (FANC:664168)
adult VNC ventral unpaired median neuron	is_a	VFB_001028ho	neuron 9203 - flipped (FANC:519576)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h1	neuron 9203 (FANC:519083)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hi	neuron 73185 - flipped (FANC:519473)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h4	neuron 73185 (FANC:519195)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hl	neuron 71278 - flipped (FANC:519525)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h7	neuron 71278 (FANC:519244)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hj	neuron 72932 - flipped (FANC:519489)
