	object	relation	subject_external_db	subject_external_id	subject_name
248	alpha/beta Kenyon cell	is_a	neuprint_JRC	297938303	(aDT6e)(MBDLaxon2)
249	alpha/beta Kenyon cell	is_a	neuprint_JRC	849685478	KCab-s
250	alpha/beta Kenyon cell	is_a	neuprint_JRC	922677093	KCab-c
251	alpha/beta Kenyon cell	is_a	neuprint_JRC	513848395	(MBDLaxon2)
252	alpha/beta Kenyon cell	is_a	neuprint_JRC	784844007	KCab-c
253	fan-shaped neuron	is_a	neuprint_JRC	886285443	FB9B_b^FB09(?)_L
254	alpha/beta Kenyon cell	is_a	neuprint_JRC	785888696	KCab-c
255	alpha/beta Kenyon cell	is_a	neuprint_JRC	755177787	KCab-s
256	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980590	KCab-c
257	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813050820	KCab-a
258	alpha/beta Kenyon cell	is_a	neuprint_JRC	971118588	KCab-c
259	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980209	KCab-s
260	fan-shaped neuron	is_a	neuprint_JRC	295136778	FB8A^FB08b_R
261	fan-shaped neuron	is_a	neuprint_JRC	296155122	FB8F_b^FB08i_R
262	fan-shaped neuron	is_a	neuprint_JRC	886280616	FB9B_b^FB09e_R
263	MB-alpha neuron of the dopaminergic PPL1 cluster	is_a	neuprint_JRC	5813019607	PPL106(a3)(PDL05)_L
264	fan-shaped neuron	is_a	neuprint_JRC	885607728	FB8G^FB07m_L
265	octopaminergic VPM3 neuron	is_a	neuprint_JRC	5813061260	OA-VPM3(NO2/NO3)_L
266	fan-shaped neuron	is_a	neuprint_JRC	300455904	FB8F_a^FB07f_L
267	fan-shaped neuron	is_a	neuprint_JRC	329772284	FB6S^FB06x_L
268	alpha/beta Kenyon cell	is_a	neuprint_JRC	816219675	KCab-c
269	alpha/beta Kenyon cell	is_a	neuprint_JRC	753489735	KCab-c
270	alpha/beta Kenyon cell	is_a	neuprint_JRC	362701875	KCab-s
271	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980212	KCab-a
272	DN1p neuron	is_a	neuprint_JRC	324846570	DN1pA_R
273	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980802	KCab-c
274	fan-shaped neuron	is_a	neuprint_JRC	5813020735	FB7A^FB07b_R
275	alpha/beta Kenyon cell	is_a	neuprint_JRC	549576117	KCab-s
276	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982211	KCab-a
277	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812983131	KCab-s
278	alpha/beta Kenyon cell	is_a	neuprint_JRC	673715784	KCab-s
