subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
16434842	VFB_001015cx	PTTH 2 right (L1EM:16434842)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19266546	VFB_001015dv	Neuron 19266547 (L1EM:19266546)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297590	VFB_001015e9	neuron 19297591 (L1EM:19297590)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299727	VFB_001015f8	neuron 19299728 (L1EM:19299727)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
10842368	VFB_001015bv	ASB Ascending right 10842369 (L1EM:10842368)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
10797407	VFB_001015bu	Bike Bars left (L1EM:10797407)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1385074	VFB_0010158i	ddaC?_a6l (L1EM:1385074)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
4249996	VFB_001015ab	SEZ horns right (L1EM:4249996)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19457909	VFB_001015g3	neuron 19457910 (L1EM:19457909)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
10781924	VFB_001015bt	gate1_right (L1EM:10781924)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
14760757	VFB_001015cj	Bike Bars right; DALl1 7 (L1EM:14760757)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1278501	VFB_0010158e	vdaB_a3r (L1EM:1278501)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1300727	VFB_0010158f	ddaA a5r class III md (L1EM:1300727)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522274	VFB_001015ge	neuron 19522275 (L1EM:19522274)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522184	VFB_001015g8	neuron 19522185 (L1EM:19522184)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299697	VFB_001015f3	neuron 19299698 (L1EM:19299697)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
10682411	VFB_001015br	BLP12 claw 3 right; BLP12 a 4 (L1EM:10682411)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
11003707	VFB_001015by	DL-LH_cand6_sibling left; BLVa12 a 7 (L1EM:11003707)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19279307	VFB_001015e1	neuron 19279308 (L1EM:19279307)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3106174	VFB_0010159j	v\'ada_a? (L1EM:3106174)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1074154	VFB_0010158b	desC_a4r ?? (L1EM:1074154)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19298305	VFB_001015f1	neuron 19298306 (L1EM:19298305)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
292913	VFB_0010157o	vdaB_a5l (L1EM:292913)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19099659	VFB_001015do	neuron 19099660 (L1EM:19099659)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
16686810	VFB_001015d1	neuron 16686811 (L1EM:16686810)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
1237125	VFB_0010158d	ddaF a2r class III? lots of uncertain continuities. CHECK (L1EM:1237125)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297555	VFB_001015e5	neuron 19297556 (L1EM:19297555)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297696	VFB_001015eo	neuron 19297697 (L1EM:19297696)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299915	VFB_001015fv	neuron 19299916 (L1EM:19299915)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3794023	VFB_0010159u	Output of Hugin right (L1EM:3794023)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2683068	VFB_0010158o	ddaA a5l class III md (L1EM:2683068)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
