subject_external_id	object	subject_external_db	relation	pub
1924051	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17356450	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11195708	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16588928	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
8154054	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11007420	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10527147	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
19470184	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
992646	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
8216541	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17951049	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3814701	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17732791	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13833814	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16424131	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5764924	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3882998	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9795662	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5684940	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9787859	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17321919	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6604203	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3729496	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16713227	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3944330	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9787592	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
14034311	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3044500	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10018161	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17359111	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17087885	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11217208	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16676038	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
7130033	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11009492	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17728922	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16340977	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10059655	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
7338309	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3498479	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17776982	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6445994	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
20139548	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
18305476	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
18695745	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
7955278	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10756813	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17809869	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16393165	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10167116	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
8159396	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13580849	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16586265	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
8227502	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17659219	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16158918	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
2557644	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9750356	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5558724	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
12335381	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
19054481	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17529547	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
869360	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6219445	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16057212	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10221622	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5559657	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16463097	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
865151	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17698681	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17355872	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13968203	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17355892	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
858479	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16884962	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
7573476	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3732322	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
15599768	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
4541081	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10263287	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9761454	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
15334461	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
