subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940605330912	FlyWire:720575940605330912	VFB_fw122023	flywire783	is_a	transmedullary neuron Tm24	FlyBase:FBrf0262545
720575940605339052	FlyWire:720575940605339052	VFB_fw112649	flywire783	is_a	transmedullary neuron Tm31	FlyBase:FBrf0262545
720575940605362633	FlyWire:720575940605362633	VFB_fw064982	flywire783	is_a	transmedullary neuron Tm30	FlyBase:FBrf0262545
720575940605372606	FlyWire:720575940605372606	VFB_fw058664	flywire783	is_a	Y neuron Y12	
720575940605380268	FlyWire:720575940605380268	VFB_fw115245	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940605384882	FlyWire:720575940605384882	VFB_fw007141	flywire783	is_a	fan-shaped body columnar neuron	
720575940605387232	FlyWire:720575940605387232	VFB_fw095555	flywire783	is_a	distal medullary amacrine neuron Dm8b	
720575940605404076	FlyWire:720575940605404076	VFB_fw116788	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605410220	FlyWire:720575940605410220	VFB_fw117210	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605417952	FlyWire:720575940605417952	VFB_fw093859	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940605421670	FlyWire:720575940605421670	VFB_fw021986	flywire783	is_a	alpha/beta Kenyon cell	
720575940605422560	FlyWire:720575940605422560	VFB_fw114897	flywire783	is_a	medulla columnar neuron MC64	
720575940605435052	FlyWire:720575940605435052	VFB_fw113835	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605442732	FlyWire:720575940605442732	VFB_fw118253	flywire783	is_a	adult central medulla intrinsic neuron Cm1	FlyBase:FBrf0262545
720575940605450924	FlyWire:720575940605450924	VFB_fw113223	flywire783	is_a	Y neuron Y12	
720575940605451552	FlyWire:720575940605451552	VFB_fw016539	flywire783	is_a	alpha/beta Kenyon cell	
720575940605454112	FlyWire:720575940605454112	VFB_fw084775	flywire783	is_a	transmedullary neuron Tm34	FlyBase:FBrf0262545
720575940605474528	FlyWire:720575940605474528	VFB_fw107076	flywire783	is_a	adult central medulla intrinsic neuron Cm27	FlyBase:FBrf0262545
720575940605475296	FlyWire:720575940605475296	VFB_fw001711	flywire783	is_a	adult lobula tangential neuron LT52	
720575940605476994	FlyWire:720575940605476994	VFB_fw045341	flywire783	is_a	medulla columnar neuron MC64	
720575940605478846	FlyWire:720575940605478846	VFB_fw061263	flywire783	is_a	lobula plate intrinsic neuron LPi3b	FlyBase:FBrf0262545
720575940605479102	FlyWire:720575940605479102	VFB_fw080864	flywire783	is_a	lobula plate intrinsic neuron LPi2d	FlyBase:FBrf0262545
720575940605487550	FlyWire:720575940605487550	VFB_fw016422	flywire783	is_a	adult lobula columnar neuron LC43	
720575940605491302	FlyWire:720575940605491302	VFB_fw023396	flywire783	is_a	alpha/beta Kenyon cell	
720575940605494240	FlyWire:720575940605494240	VFB_fw051182	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940605495008	FlyWire:720575940605495008	VFB_fw125748	flywire783	is_a	lamina wide-field 2 neuron	
720575940605496777	FlyWire:720575940605496777	VFB_fw044906	flywire783	is_a	adult medulla-tubercle neuron of dorsal rim area	
720575940605506476	FlyWire:720575940605506476	VFB_fw119716	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940605514249	FlyWire:720575940605514249	VFB_fw099605	flywire783	is_a	transmedullary neuron Tm30	FlyBase:FBrf0262545
720575940605523558	FlyWire:720575940605523558	VFB_fw083399	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
