subject_external_id	subject_external_db	relation	object
297563270	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297572076	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297572235	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297580512	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297580589	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297584752	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297584869	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297588775	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297588838	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297588995	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297593055	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297851977	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297856167	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297860327	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297860627	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297869179	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297899921	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297908595	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297908801	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
297912117	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297917158	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297917363	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297917364	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297917459	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
297917474	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297917475	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297921527	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297921570	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297921608	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297921642	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297921808	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
