filename	is_a	part_of	dbxrefs	label
542243	neuron	adult nervous system	male-cns_v0_9:542243	T1_R (MaleCNS:542243)
52537	neuron	adult nervous system	male-cns_v0_9:52537	T1_R (MaleCNS:52537)
50014	neuron	adult nervous system	male-cns_v0_9:50014	T1_R (MaleCNS:50014)
100849	neuron	adult nervous system	male-cns_v0_9:100849	T1_L (MaleCNS:100849)
68590	neuron	adult nervous system	male-cns_v0_9:68590	T1_R (MaleCNS:68590)
72001	neuron	adult nervous system	male-cns_v0_9:72001	T1_L (MaleCNS:72001)
34037	neuron	adult nervous system	male-cns_v0_9:34037	T1_R (MaleCNS:34037)
40563	neuron	adult nervous system	male-cns_v0_9:40563	T1_L (MaleCNS:40563)
47066	neuron	adult nervous system	male-cns_v0_9:47066	T1_R (MaleCNS:47066)
69054	neuron	adult nervous system	male-cns_v0_9:69054	T1_R (MaleCNS:69054)
102601	neuron	adult nervous system	male-cns_v0_9:102601	T1_L (MaleCNS:102601)
70875	neuron	adult nervous system	male-cns_v0_9:70875	T1_L (MaleCNS:70875)
58747	neuron	adult nervous system	male-cns_v0_9:58747	T1_R (MaleCNS:58747)
37600	neuron	adult nervous system	male-cns_v0_9:37600	T1_R (MaleCNS:37600)
534904	neuron	adult nervous system	male-cns_v0_9:534904	T1_L (MaleCNS:534904)
542830	neuron	adult nervous system	male-cns_v0_9:542830	T1_L (MaleCNS:542830)
91752	neuron	adult nervous system	male-cns_v0_9:91752	T1_L (MaleCNS:91752)
47547	neuron	adult nervous system	male-cns_v0_9:47547	T1_L (MaleCNS:47547)
40041	neuron	adult nervous system	male-cns_v0_9:40041	T1_L (MaleCNS:40041)
52629	neuron	adult nervous system	male-cns_v0_9:52629	T1_L (MaleCNS:52629)
543736	neuron	adult nervous system	male-cns_v0_9:543736	T1_L (MaleCNS:543736)
122644	neuron	adult nervous system	male-cns_v0_9:122644	T1_R (MaleCNS:122644)
529303	neuron	adult nervous system	male-cns_v0_9:529303	T1_L (MaleCNS:529303)
33977	neuron	adult nervous system	male-cns_v0_9:33977	T1_L (MaleCNS:33977)
42160	neuron	adult nervous system	male-cns_v0_9:42160	T1_R (MaleCNS:42160)
39680	neuron	adult nervous system	male-cns_v0_9:39680	T1_R (MaleCNS:39680)
26139	neuron	adult nervous system	male-cns_v0_9:26139	T1_L (MaleCNS:26139)
50707	neuron	adult nervous system	male-cns_v0_9:50707	T1_R (MaleCNS:50707)
64997	neuron	adult nervous system	male-cns_v0_9:64997	T1_R (MaleCNS:64997)
45309	neuron	adult nervous system	male-cns_v0_9:45309	T1_L (MaleCNS:45309)
89279	neuron	adult nervous system	male-cns_v0_9:89279	T1_L (MaleCNS:89279)
42419	neuron	adult nervous system	male-cns_v0_9:42419	T1_L (MaleCNS:42419)
63308	neuron	adult nervous system	male-cns_v0_9:63308	T1_R (MaleCNS:63308)
53210	neuron	adult nervous system	male-cns_v0_9:53210	T1_R (MaleCNS:53210)
50259	neuron	adult nervous system	male-cns_v0_9:50259	T1_L (MaleCNS:50259)
84600	neuron	adult nervous system	male-cns_v0_9:84600	T1_L (MaleCNS:84600)
87638	neuron	adult nervous system	male-cns_v0_9:87638	T1_L (MaleCNS:87638)
550178	neuron	adult nervous system	male-cns_v0_9:550178	T1_L (MaleCNS:550178)
