filename	label	is_a	part_of	dbxrefs
11476614	neuron 11476615_left	neuron	embryonic/larval nervous system	catmaid_l1em:11476614
11528017	AF11: check if new 3rd BME  (ipsi PDL right?) neuron 11528018 	neuron	embryonic/larval nervous system	catmaid_l1em:11528017
11637003	Sleepy Right	neuron	embryonic/larval nervous system	catmaid_l1em:11637003
11889676	E ; BAMD PN_right	neuron	embryonic/larval nervous system	catmaid_l1em:11889676
11909406	U3 ; bilateral-2_right	neuron	embryonic/larval nervous system	catmaid_l1em:11909406
12122924	CZ2_right	neuron	embryonic/larval nervous system	catmaid_l1em:12122924
12199095	neuron 12199096 upstr sog, oct left	neuron	embryonic/larval nervous system	catmaid_l1em:12199095
12233237	AF11: ipsi PDL left	neuron	embryonic/larval nervous system	catmaid_l1em:12233237
12262910	W_left	neuron	embryonic/larval nervous system	catmaid_l1em:12262910
12325227	Smash_left	neuron	embryonic/larval nervous system	catmaid_l1em:12325227
12356747	forking too high?	neuron	embryonic/larval nervous system	catmaid_l1em:12356747
12389097	neuron 12389098	neuron	embryonic/larval nervous system	catmaid_l1em:12389097
12398622	MBON-F-V8;14+4 cell body close to other relays the other side, left 	neuron	embryonic/larval nervous system	catmaid_l1em:12398622
12479019	BAmas12 7 d the other side left	neuron	embryonic/larval nervous system	catmaid_l1em:12479019
12670738	PN to MBE	neuron	embryonic/larval nervous system	catmaid_l1em:12670738
12704069	K ; DPLam med _right	neuron	embryonic/larval nervous system	catmaid_l1em:12704069
12832017	CM13 lat 12 gap	neuron	embryonic/larval nervous system	catmaid_l1em:12832017
13197236	M ; F6 pair_left	neuron	embryonic/larval nervous system	catmaid_l1em:13197236
13199414	Headphone-2_left	neuron	embryonic/larval nervous system	catmaid_l1em:13199414
13210358	Headphone_right	neuron	embryonic/larval nervous system	catmaid_l1em:13210358
13743125	ASB B1 left	neuron	embryonic/larval nervous system	catmaid_l1em:13743125
13852833	CP23 d 5_left	neuron	embryonic/larval nervous system	catmaid_l1em:13852833
13863331	Bridge I_right	neuron	embryonic/larval nervous system	catmaid_l1em:13863331
14000746	U ; Convergence Sibling; DALcm12 m ant lat 12_left	neuron	embryonic/larval nervous system	catmaid_l1em:14000746
14077179	MBE34-like_right; Right Handlebar?_TODO	neuron	embryonic/larval nervous system	catmaid_l1em:14077179
14077615	D ; Feedback neuron from nociceptive_right	neuron	embryonic/larval nervous system	catmaid_l1em:14077615
14083681	X ; F1 pair; DALcm12 L m ant lat 9_right	neuron	embryonic/larval nervous system	catmaid_l1em:14083681
14127447	Major upstream of 4g_right	neuron	embryonic/larval nervous system	catmaid_l1em:14127447
14158399	AF12: CP23 d 1_left	neuron	embryonic/larval nervous system	catmaid_l1em:14158399
