filename	is_a	part_of	Imaging_type	Template	dbxrefs	label	comment
1672293878	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1672293878	HRN_VP1d_R (FlyEM-HB:1672293878)	Newly typed in 1.2.1
704898746	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:704898746	SMP326(PDM06)_L (FlyEM-HB:704898746)	Newly typed in 1.2.1
731145160	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:731145160	SMP201(PDL06)_L (FlyEM-HB:731145160)	Newly typed in 1.2.1
1006068474	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1006068474	DP1m_adPN_L (FlyEM-HB:1006068474)	Newly typed in 1.2.1
916560513	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:916560513	CL159(PDM09)_L (FlyEM-HB:916560513)	Newly typed in 1.2.1
762857726	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:762857726	SMP316(PDM06)_L (FlyEM-HB:762857726)	Newly typed in 1.2.1
643156727	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:643156727	SMP176(PDL05)_L (FlyEM-HB:643156727)	Newly typed in 1.2.1
5813041161	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813041161	SMP311(PDM06)_L (FlyEM-HB:5813041161)	Newly typed in 1.2.1
792908892	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:792908892	PLP246_L (FlyEM-HB:792908892)	Newly typed in 1.2.1
761144013	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:761144013	CL030(ADL25)_L (FlyEM-HB:761144013)	Newly typed in 1.2.1
608715651	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:608715651	SMP579(PVL11)_L (FlyEM-HB:608715651)	Newly typed in 1.2.1
1887971628	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1887971628	VM5v_adPN_L (FlyEM-HB:1887971628)	Newly typed in 1.2.1
544262033	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:544262033	SMP421(PDM10)_L (FlyEM-HB:544262033)	Newly typed in 1.2.1
5813050013	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813050013	DM2_lPN_L (FlyEM-HB:5813050013)	Newly typed in 1.2.1
