filename	label	is_a	part_of	Curator	DataSet	Template	Imaging_type	synonyms
FBl2	FBl2	fan-shaped body layer 2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl2 on JRC_FlyEM_Hemibrain
FBl3	FBl3	fan-shaped body layer 3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl3 on JRC_FlyEM_Hemibrain
FBl4	FBl4	fan-shaped body layer 4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl4 on JRC_FlyEM_Hemibrain
FBl5	FBl5	fan-shaped body layer 5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl5 on JRC_FlyEM_Hemibrain
FBl6	FBl6	fan-shaped body layer 6	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl6 on JRC_FlyEM_Hemibrain
FBl7	FBl7	fan-shaped body layer 7	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl7 on JRC_FlyEM_Hemibrain
FBl8	FBl8	fan-shaped body layer 8	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl8 on JRC_FlyEM_Hemibrain
FBl9	FBl9	fan-shaped body layer 9	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	FBl9 on JRC_FlyEM_Hemibrain
g1(R)	g1(R)	mushroom body gamma lobe slice 1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	g1(R) on JRC_FlyEM_Hemibrain
g2(R)	g2(R)	mushroom body gamma lobe slice 2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	g2(R) on JRC_FlyEM_Hemibrain
g3(R)	g3(R)	mushroom body gamma lobe slice 3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	g3(R) on JRC_FlyEM_Hemibrain
g4(R)	g4(R)	mushroom body gamma lobe slice 4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	g4(R) on JRC_FlyEM_Hemibrain
g5(R)	g5(R)	mushroom body gamma lobe slice 5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	g5(R) on JRC_FlyEM_Hemibrain
gL(L)	gL(L)	adult mushroom body gamma-lobe	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	gL(L) on JRC_FlyEM_Hemibrain
