subject_id	subject_name	object	relation	pub	comment
VFB_001011cq	AL-VM7d(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cq	AL-VM7d(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cr	AL-VM7d(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cr	AL-VM7d(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cs	AL-VM7v(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cs	AL-VM7v(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011ct	AL-VM7v(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011ct	AL-VM7v(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cu	AL-VP1d(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cu	AL-VP1d(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cv	AL-VP1l(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cv	AL-VP1l(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cw	AL-VP1m(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cw	AL-VP1m(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cx	AL-VP2(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cx	AL-VP2(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cy	AL-VP3(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cy	AL-VP3(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011cz	AL-VP4(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011cz	AL-VP4(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_001011d0	AL-VP5(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_001011d0	AL-VP5(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101386	AME(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101386	AME(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101457	AMMC on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101483	AOT(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101483	AOT(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101407	AOTU(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101407	AOTU(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101487	ATL(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101487	ATL(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101445	ATL(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101445	ATL(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101408	AVLP(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101408	AVLP(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101524	BU(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101524	BU(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101402	BU(R) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101402	BU(R) on JRC_FlyEM_Hemibrain	right side of organism	part_of	FlyBase:FBrf0246888	
VFB_00101533	CA(L) on JRC_FlyEM_Hemibrain	female organism	part_of	FlyBase:FBrf0246888	
VFB_00101533	CA(L) on JRC_FlyEM_Hemibrain	left side of organism	part_of	FlyBase:FBrf0246888	
