subject_external_id	subject_name	object	subject_external_db	relation
724267537	PFNv(PB05)_R5_C6	protocerebral bridge glomerulus 5-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
601120917	PFNv(PB05)_R6_C5	protocerebral bridge glomerulus 6-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
632155800	PFNv(PB05)_R6_C5	protocerebral bridge glomerulus 6-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
971817711	PFNv(PB05)_R7_C3	protocerebral bridge glomerulus 7-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1125964651	PFNv(PB05)_R8_C3	protocerebral bridge glomerulus 8-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
5812987803	PFNv(PB05)_R9_C1	protocerebral bridge glomerulus 9-fan-shaped body-nodulus 2 ventral domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1128434325	PFR_a(PB11a)_L2_C2	protocerebral bridge glomerulus 2-fan-shaped body-round body type a neuron	neuprint_JRC_Hemibrain_1point1	is_a
634608015	PFR_a(PB11a)_L2_C2	protocerebral bridge glomerulus 2-fan-shaped body-round body type a neuron	neuprint_JRC_Hemibrain_1point1	is_a
1036330791	PFR_a(PB11a)_R2_C8	protocerebral bridge glomerulus 2-fan-shaped body-round body type a neuron	neuprint_JRC_Hemibrain_1point1	is_a
5812988091	PFR_a(PB11a)_R2_C8	protocerebral bridge glomerulus 2-fan-shaped body-round body type a neuron	neuprint_JRC_Hemibrain_1point1	is_a
757699000	PFR_a(PB11a)_R2_C8	protocerebral bridge glomerulus 2-fan-shaped body-round body type a neuron	neuprint_JRC_Hemibrain_1point1	is_a
666312288	PFR_b(PB11b)_L1_C2	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1159123802	PFR_b(PB11b)_L1_C9_irreg	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
943955813	PFR_b(PB11b)_L3_C3	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1070439674	PFR_b(PB11b)_L3_C4	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
819828716	PFR_b(PB11b)_L4_C5	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
911915224	PFR_b(PB11b)_L5_C6	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1002999221	PFR_b(PB11b)_L6_C7	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1066420480	PFR_b(PB11b)_L7_C8	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
881506038	PFR_b(PB11b)_R1_C1_irreg	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
5813081494	PFR_b(PB11b)_R1_C8	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1005261469	PFR_b(PB11b)_R3_C6	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1102191192	PFR_b(PB11b)_R3_C7	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
786989471	PFR_b(PB11b)_R4_C5	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1073504644	PFR_b(PB11b)_R5_C4	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1135907207	PFR_b(PB11b)_R6_C3	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1064577636	PFR_b(PB11b)_R7_C2	adult protocerebral bridge 1 glomerulus-fan-shaped body-round body type b neuron	neuprint_JRC_Hemibrain_1point1	is_a
1225273264	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1349740992	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1349102153	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1224590555	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1318394745	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
5813045216	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1193560469	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1162862472	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
1075499064	FB3C	adult lateral accessory lobe-fan-shaped body layer 3 neuron	neuprint_JRC_Hemibrain_1point1	is_a
