filename	synonyms	is_a	part_of	label	Template
AL-VP3(R)	AL-VP3(R)	antennal lobe glomerulus VP3	male organism|adult brain|right side of organism	AL-VP3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP4(L)	AL-VP4(L)	antennal lobe glomerulus VP4	male organism|adult brain|left side of organism	AL-VP4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP4(R)	AL-VP4(R)	antennal lobe glomerulus VP4	male organism|adult brain|right side of organism	AL-VP4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VP5(L)	AL-VP5(L)	antennal lobe glomerulus VP5	male organism|adult brain|left side of organism	AL-VP5(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VP5(R)	AL-VP5(R)	antennal lobe glomerulus VP5	male organism|adult brain|right side of organism	AL-VP5(R) on JRC2018Unisex	JRC2018Unisex_c
AME(L)	AME(L)	accessory medulla	male organism|adult brain|left side of organism	AME(L) on JRC2018Unisex	JRC2018Unisex_c
AME(R)	AME(R)	accessory medulla	male organism|adult brain|right side of organism	AME(R) on JRC2018Unisex	JRC2018Unisex_c
AMMC(L)	AMMC(L)	antennal mechanosensory and motor center	male organism|adult brain|left side of organism	AMMC(L) on JRC2018Unisex	JRC2018Unisex_c
AMMC(R)	AMMC(R)	antennal mechanosensory and motor center	male organism|adult brain|right side of organism	AMMC(R) on JRC2018Unisex	JRC2018Unisex_c
ANm	ANm	adult abdominal neuromere	male organism|adult ventral nerve cord	ANm on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AOTU(L)	AOTU(L)	anterior optic tubercle	male organism|adult brain|left side of organism	AOTU(L) on JRC2018Unisex	JRC2018Unisex_c
AOTU(R)	AOTU(R)	anterior optic tubercle	male organism|adult brain|right side of organism	AOTU(R) on JRC2018Unisex	JRC2018Unisex_c
ATL(L)	ATL(L)	antler	male organism|adult brain|left side of organism	ATL(L) on JRC2018Unisex	JRC2018Unisex_c
ATL(R)	ATL(R)	antler	male organism|adult brain|right side of organism	ATL(R) on JRC2018Unisex	JRC2018Unisex_c
AVLP(L)	AVLP(L)	anterior ventrolateral protocerebrum	male organism|adult brain|left side of organism	AVLP(L) on JRC2018Unisex	JRC2018Unisex_c
AVLP(R)	AVLP(R)	anterior ventrolateral protocerebrum	male organism|adult brain|right side of organism	AVLP(R) on JRC2018Unisex	JRC2018Unisex_c
AbN1(L)	AbN1(L)	adult first abdominal nerve	male organism|adult ventral nerve cord|left side of organism	AbN1(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN1(R)	AbN1(R)	adult first abdominal nerve	male organism|adult ventral nerve cord|right side of organism	AbN1(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN2(L)	AbN2(L)	adult second abdominal nerve	male organism|adult ventral nerve cord|left side of organism	AbN2(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN2(R)	AbN2(R)	adult second abdominal nerve	male organism|adult ventral nerve cord|right side of organism	AbN2(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN3(L)	AbN3(L)	adult third abdominal nerve	male organism|adult ventral nerve cord|left side of organism	AbN3(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN3(R)	AbN3(R)	adult third abdominal nerve	male organism|adult ventral nerve cord|right side of organism	AbN3(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN4(L)	AbN4(L)	adult fourth abdominal nerve	male organism|adult ventral nerve cord|left side of organism	AbN4(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbN4(R)	AbN4(R)	adult fourth abdominal nerve	male organism|adult ventral nerve cord|right side of organism	AbN4(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbNT(L)	AbNT(L)	adult abdominal nerve trunk	male organism|adult ventral nerve cord|left side of organism	AbNT(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
AbNT(R)	AbNT(R)	adult abdominal nerve trunk	male organism|adult ventral nerve cord|right side of organism	AbNT(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
BU(L)	BU(L)	bulb	male organism|adult brain|left side of organism	BU(L) on JRC2018Unisex	JRC2018Unisex_c
BU(R)	BU(R)	bulb	male organism|adult brain|right side of organism	BU(R) on JRC2018Unisex	JRC2018Unisex_c
CA(L)	CA(L)	mushroom body calyx	male organism|adult brain|left side of organism	CA(L) on JRC2018Unisex	JRC2018Unisex_c
CA(R)	CA(R)	mushroom body calyx	male organism|adult brain|right side of organism	CA(R) on JRC2018Unisex	JRC2018Unisex_c
CAN(L)	CAN(L)	cantle	male organism|adult brain|left side of organism	CAN(L) on JRC2018Unisex	JRC2018Unisex_c
CAN(R)	CAN(R)	cantle	male organism|adult brain|right side of organism	CAN(R) on JRC2018Unisex	JRC2018Unisex_c
CRE(-ROB)(-RUB)(L)	CRE(-ROB)(-RUB)(L)	adult crepine	male organism|adult brain|left side of organism	CRE(-ROB)(-RUB)(L) on JRC2018Unisex	JRC2018Unisex_c
CRE(-ROB)(-RUB)(R)	CRE(-ROB)(-RUB)(R)	adult crepine	male organism|adult brain|right side of organism	CRE(-ROB)(-RUB)(R) on JRC2018Unisex	JRC2018Unisex_c
CRE(L)	CRE(L)	adult crepine	male organism|adult brain|left side of organism	CRE(L) on JRC2018Unisex	JRC2018Unisex_c
CRE(R)	CRE(R)	adult crepine	male organism|adult brain|right side of organism	CRE(R) on JRC2018Unisex	JRC2018Unisex_c
CV	CV	adult cervical connective	male organism|adult brain	CV on JRC2018Unisex	JRC2018Unisex_c
CX	CX	adult central complex	male organism|adult brain	CX on JRC2018Unisex	JRC2018Unisex_c
CentralBrain	CentralBrain	adult central brain	male organism|adult brain	CentralBrain on JRC2018Unisex	JRC2018Unisex_c
CvN(L)	CvN(L)	adult cervical nerve	male organism|adult ventral nerve cord|left side of organism	CvN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
CvN(R)	CvN(R)	adult cervical nerve	male organism|adult ventral nerve cord|right side of organism	CvN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
DMetaN(L)	DMetaN(L)	adult dorsal metathoracic nerve	male organism|adult ventral nerve cord|left side of organism	DMetaN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
DMetaN(R)	DMetaN(R)	adult dorsal metathoracic nerve	male organism|adult ventral nerve cord|right side of organism	DMetaN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
DProN(L)	DProN(L)	adult dorsal prothoracic nerve	male organism|adult ventral nerve cord|left side of organism	DProN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
DProN(R)	DProN(R)	adult dorsal prothoracic nerve	male organism|adult ventral nerve cord|right side of organism	DProN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
EB	EB	ellipsoid body	male organism|adult brain	EB on JRC2018Unisex	JRC2018Unisex_c
EBr1	EBr1	ellipsoid body inner posterior domain	male organism|adult brain	EBr1 on JRC2018Unisex	JRC2018Unisex_c
EBr2r4	EBr2r4	ellipsoid body outer central domain	male organism|adult brain	EBr2r4 on JRC2018Unisex	JRC2018Unisex_c
EBr3am	EBr3am	ellipsoid body inner central domain	male organism|adult brain	EBr3am on JRC2018Unisex	JRC2018Unisex_c
EBr3d	EBr3d	ellipsoid body inner central domain	male organism|adult brain	EBr3d on JRC2018Unisex	JRC2018Unisex_c
EBr3pw	EBr3pw	ellipsoid body inner central domain	male organism|adult brain	EBr3pw on JRC2018Unisex	JRC2018Unisex_c
EBr5	EBr5	ellipsoid body anterior domain	male organism|adult brain	EBr5 on JRC2018Unisex	JRC2018Unisex_c
EBr6	EBr6	ellipsoid body outer posterior domain	male organism|adult brain	EBr6 on JRC2018Unisex	JRC2018Unisex_c
EPA(L)	EPA(L)	epaulette	male organism|adult brain|left side of organism	EPA(L) on JRC2018Unisex	JRC2018Unisex_c
EPA(R)	EPA(R)	epaulette	male organism|adult brain|right side of organism	EPA(R) on JRC2018Unisex	JRC2018Unisex_c
FB	FB	fan-shaped body	male organism|adult brain	FB on JRC2018Unisex	JRC2018Unisex_c
FBl1	FBl1	fan-shaped body layer 1	male organism|adult brain	FBl1 on JRC2018Unisex	JRC2018Unisex_c
FBl2	FBl2	fan-shaped body layer 2	male organism|adult brain	FBl2 on JRC2018Unisex	JRC2018Unisex_c
FBl3	FBl3	fan-shaped body layer 3	male organism|adult brain	FBl3 on JRC2018Unisex	JRC2018Unisex_c
