filename	is_a	part_of	label	comment	dbxrefs
104156	adult neuron	male organism	C2_R (JRC_OpticLobe:104156)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:104156
123943	adult neuron	male organism	C2_R (JRC_OpticLobe:123943)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:123943
93051	adult neuron	male organism	C2_R (JRC_OpticLobe:93051)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:93051
99410	adult neuron	male organism	C2_R (JRC_OpticLobe:99410)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:99410
89370	adult neuron	male organism	C2_R (JRC_OpticLobe:89370)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:89370
100448	adult neuron	male organism	C2_R (JRC_OpticLobe:100448)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100448
79624	adult neuron	male organism	C2_R (JRC_OpticLobe:79624)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:79624
100733	adult neuron	male organism	C2_R (JRC_OpticLobe:100733)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:100733
155936	adult neuron	male organism	C2_R (JRC_OpticLobe:155936)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:155936
116653	adult neuron	male organism	C2_R (JRC_OpticLobe:116653)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:116653
80373	adult neuron	male organism	C2_R (JRC_OpticLobe:80373)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:80373
109155	adult neuron	male organism	C2_R (JRC_OpticLobe:109155)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:109155
98002	adult neuron	male organism	C2_R (JRC_OpticLobe:98002)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:98002
113543	adult neuron	male organism	C2_R (JRC_OpticLobe:113543)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:113543
103385	adult neuron	male organism	C2_R (JRC_OpticLobe:103385)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:103385
104251	adult neuron	male organism	C2_R (JRC_OpticLobe:104251)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-C2	neuprint_JRC_OpticLobe_v1_0:104251
