filename	label	is_a	part_of	dbxrefs	comment
5813022816	AOTU045_R - 5813022816	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813022816	tracing status-Roughly traced, cropped-False
978336888	AOTU046_R - 978336888	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:978336888	tracing status-Traced, cropped-False
5813071320	AOTU046_R - 5813071320	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813071320	tracing status-Traced, cropped-False
977710985	AOTU046(PDM21)_L - 977710985	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:977710985	tracing status-Traced, cropped-False
978051730	AOTU046(PDM21)_L - 978051730	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:978051730	tracing status-Traced, cropped-False
478618011	AOTU047_R - 478618011	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:478618011	tracing status-Roughly traced, cropped-False
861228990	AOTU048_R - 861228990	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861228990	tracing status-Roughly traced, cropped-False
1564136459	AOTU049_R - 1564136459	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1564136459	tracing status-Roughly traced, cropped-False
1533783144	AOTU049_R - 1533783144	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1533783144	tracing status-Roughly traced, cropped-False
1352011957	AOTU050_R - 1352011957	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1352011957	tracing status-Roughly traced, cropped-False
861924584	AOTU050_R - 861924584	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861924584	tracing status-Roughly traced, cropped-False
1352356915	AOTU050_R - 1352356915	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1352356915	tracing status-Roughly traced, cropped-False
1345286099	AOTU050_R - 1345286099	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1345286099	tracing status-Roughly traced, cropped-False
862606783	AOTU050_R - 862606783	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862606783	tracing status-Roughly traced, cropped-False
1219634899	AOTU051_R - 1219634899	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1219634899	tracing status-Roughly traced, cropped-False
1564482110	AOTU051_R - 1564482110	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1564482110	tracing status-Roughly traced, cropped-False
1500693034	AOTU052_R - 1500693034	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1500693034	tracing status-Roughly traced, cropped-False
1413058496	AOTU052_R - 1413058496	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1413058496	tracing status-Roughly traced, cropped-False
1374839724	AOTU052_R - 1374839724	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1374839724	tracing status-Roughly traced, cropped-False
1473764281	AOTU053_R - 1473764281	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1473764281	tracing status-Roughly traced, cropped-False
5813097142	AOTU053_R - 5813097142	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813097142	tracing status-Roughly traced, cropped-False
1291647067	AOTU054_R - 1291647067	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1291647067	tracing status-Roughly traced, cropped-False
5812980647	AOTU055_R - 5812980647	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5812980647	tracing status-Roughly traced, cropped-False
1015049194	AOTU056_R - 1015049194	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1015049194	tracing status-Roughly traced, cropped-False
5813044812	AOTU056_R - 5813044812	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813044812	tracing status-Roughly traced, cropped-False
984008765	AOTU056_R - 984008765	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:984008765	tracing status-Roughly traced, cropped-False
982994156	AOTU056_R - 982994156	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:982994156	tracing status-Roughly traced, cropped-False
1066506741	AOTU056_R - 1066506741	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1066506741	tracing status-Roughly traced, cropped-False
5813014911	AOTU057_R - 5813014911	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813014911	tracing status-Roughly traced, cropped-False
1046411173	AOTU058_R - 1046411173	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1046411173	tracing status-Roughly traced, cropped-False
1015048510	AOTU058_R - 1015048510	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1015048510	tracing status-Roughly traced, cropped-False
1077122311	AOTU058_R - 1077122311	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1077122311	tracing status-Roughly traced, cropped-False
1631714973	AOTU059_R - 1631714973	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1631714973	tracing status-Roughly traced, cropped-False
922966733	AOTU059_R - 922966733	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:922966733	tracing status-Roughly traced, cropped-False
892605049	AOTU059_R - 892605049	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892605049	tracing status-Roughly traced, cropped-False
955024652	AOTU059_R - 955024652	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:955024652	tracing status-Roughly traced, cropped-False
575534632	AOTU060_R - 575534632	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:575534632	tracing status-Roughly traced, cropped-False
799872343	AOTU060_R - 799872343	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:799872343	tracing status-Roughly traced, cropped-False
860910011	AOTU060_R - 860910011	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860910011	tracing status-Roughly traced, cropped-False
860910051	AOTU060_R - 860910051	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860910051	tracing status-Roughly traced, cropped-False
5813016067	AOTU061_R - 5813016067	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813016067	tracing status-Roughly traced, cropped-False
862278897	AOTU061_R - 862278897	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862278897	tracing status-Roughly traced, cropped-False
1692782686	AOTU062_R - 1692782686	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1692782686	tracing status-Roughly traced, cropped-False
982688871	AOTU062_R - 982688871	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:982688871	tracing status-Roughly traced, cropped-False
954705691	AOTU062_R - 954705691	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:954705691	tracing status-Roughly traced, cropped-False
922643119	AOTU062_R - 922643119	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:922643119	tracing status-Roughly traced, cropped-False
800929667	AOTU063(SCB058)_R - 800929667	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:800929667	tracing status-Roughly traced, cropped-False
791039731	AOTU063(SCB058)_R - 791039731	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:791039731	tracing status-Roughly traced, cropped-False
1038070642	AOTU064(SCB012)_R - 1038070642	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1038070642	tracing status-Roughly traced, cropped-False
1010817979	AOTU064(SCB012)_L - 1010817979	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1010817979	tracing status-Roughly traced, cropped-False
917493211	AOTU065(SCB052)_R - 917493211	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:917493211	tracing status-Roughly traced, cropped-False
425790257	APL_R - 425790257	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:425790257	tracing status-Roughly traced, cropped-False
665479890	ATL001_R - 665479890	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:665479890	tracing status-Roughly traced, cropped-False
669977676	ATL002_R - 669977676	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:669977676	tracing status-Roughly traced, cropped-False
758674661	ATL003_R - 758674661	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:758674661	tracing status-Roughly traced, cropped-False
449218986	ATL004_R - 449218986	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:449218986	tracing status-Roughly traced, cropped-False
1137957299	ATL005(ADM02)_L - 1137957299	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1137957299	tracing status-Roughly traced, cropped-False
5812983965	ATL005_R - 5812983965	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5812983965	tracing status-Roughly traced, cropped-False
518329528	ATL006(ADM04)_L - 518329528	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:518329528	tracing status-Roughly traced, cropped-False
5813062552	ATL006_R - 5813062552	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813062552	tracing status-Roughly traced, cropped-False
730013818	ATL007(ADM10)_L - 730013818	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:730013818	tracing status-Roughly traced, cropped-False
1079625867	ATL007_R - 1079625867	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1079625867	tracing status-Roughly traced, cropped-False
