filename	Label	is_a	part_of	develops_from
FLAa2_H02(SMP)_0_2018U	FLAa2_H02(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H03(SMP)_0_2018U	FLAa2_H03(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H04(SMP)_0_2018U	FLAa2_H04(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H05(SMP)_0_2018U	FLAa2_H05(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H06(SMP)_0_2018U	FLAa2_H06(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H07(SMP)_0_2018U	FLAa2_H07(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_H08(SMP)_0_2018U	FLAa2_H08(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P01(LH)_0_2018U	FLAa2_P01(LH)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P02(SMP)_0_2018U	FLAa2_P02(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P03(SMP)_0_2018U	FLAa2_P03(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P04(SMP)_0_2018U	FLAa2_P04(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P05(SMP)_0_2018U	FLAa2_P05(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P06(MB)_0_2018U	FLAa2_P06(MB)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P07(MB)_0_2018U	FLAa2_P07(MB)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa2_P08(MB)_0_2018U	FLAa2_P08(MB)_0_2018U	neuron	adult brain	neuroblast FLAa2
FLAa3_H01(SP)_0_2018U	FLAa3_H01(SP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H02(SP)_0_2018U	FLAa3_H02(SP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H03(SP)_0_2018U	FLAa3_H03(SP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H04(SMP)_0_2018U	FLAa3_H04(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H05(SMP)_0_2018U	FLAa3_H05(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H06(SMP)_0_2018U	FLAa3_H06(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa3
FLAa3_H07(SMP)_0_2018U	FLAa3_H07(SMP)_0_2018U	neuron	adult brain	neuroblast FLAa3
LALv1A_M01(NO)_0_2018U	LALv1A_M01(NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M02(NO)_0_2018U	LALv1A_M02(NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M03(NO)_0_2018U	LALv1A_M03(NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M04(NO)_0_2018U	LALv1A_M04(NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M05(NO)_0_2018U	LALv1A_M05(NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M06(EB)_0_2018U	LALv1A_M06(EB)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M07(EB)_0_2018U	LALv1A_M07(EB)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M08(FB&NO)_0_2018U	LALv1A_M08(FB&NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M09(FB&NO)_0_2018U	LALv1A_M09(FB&NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M10(FB&NO)_0_2018U	LALv1A_M10(FB&NO)_0_2018U	neuron	adult brain	neuroblast LALv1
LALv1A_M11(FB)_0_2018U	LALv1A_M11(FB)_0_2018U	neuron	adult brain	neuroblast LALv1
