bodyID	subject_name	object	subject_external_db	relation
942254492	PFNp_e(PB01a)_L4_C3	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1661122416	PFNp_e(PB01a)_L5_C4	PB slice 5-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1256376704	PFNp_e(PB01a)_L6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1472537557	PFNp_e(PB01a)_L6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
693979726	PFNp_e(PB01a)_L7_C6	PB slice 7-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1158507458	PFNp_e(PB01a)_L8_C7	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1251269930	PFNp_e(PB01a)_L9_C8	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1629093706	PFNp_e(PB01a)_R2_C9	PB slice 2-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1628744095	PFNp_e(PB01a)_R3_C8	PB slice 3-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1410105306	PFNp_e(PB01a)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441486002	PFNp_e(PB01a)_R4_C7	PB slice 4-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
786679162	PFNp_e(PB01a)_R5_C6	PB slice 5-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1441485464	PFNp_e(PB01a)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
847712250	PFNp_e(PB01a)_R6_C5	PB slice 6-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
940808800	PFNp_e(PB01a)_R7_C4	PB slice 7-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1126310716	PFNp_e(PB01a)_R8_C3	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1157000178	PFNp_e(PB01a)_R8_C3	PB slice 8-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1250113288	PFNp_e(PB01a)_R9_C2	PB slice 9-FB-NO3 posterior domain neuron	neuprint_JRC_Hemibrain_1point1	is_a
1322522242	PFR_a(PB11a)_L1_C9_irreg	PB slice 1-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
974606303	PFR_a(PB11a)_L1_C9_irreg	PB slice 1-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
973954598	PFR_a(PB11a)_L3_C3	PB slice 2-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
974645472	PFR_a(PB11a)_L3_C3	PB slice 2-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
727376283	PFR_a(PB11a)_L4_C4	PB slice 3-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
789121913	PFR_a(PB11a)_L4_C4	PB slice 3-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1008041969	PFR_a(PB11a)_L5_C5	PB slice 4-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1195606601	PFR_a(PB11a)_L5_C5	PB slice 4-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1072503172	PFR_a(PB11a)_L6_C6	PB slice 5-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1072844208	PFR_a(PB11a)_L6_C7	PB slice 5-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
5813062805	PFR_a(PB11a)_L7_C7	PB slice 6-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1259097611	PFR_a(PB11a)_L8_C8	PB slice 7-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
882200934	PFR_a(PB11a)_R1_C1_irreg	PB slice 1-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
943921162	PFR_a(PB11a)_R1_C1_irreg	PB slice 1-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1133566834	PFR_a(PB11a)_R3_C7	PB slice 2-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1164269666	PFR_a(PB11a)_R3_C7	PB slice 2-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1036296133	PFR_a(PB11a)_R4_C6	PB slice 3-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
5812983764	PFR_a(PB11a)_R4_C6	PB slice 3-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
972858260	PFR_a(PB11a)_R5_C5	PB slice 4-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
976997968	PFR_a(PB11a)_R5_C5	PB slice 4-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
5813016830	PFR_a(PB11a)_R6_C3	PB slice 5-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
911802614	PFR_a(PB11a)_R6_C4	PB slice 5-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1167956458	PFR_a(PB11a)_R7_C3	PB slice 6-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
1168314368	PFR_a(PB11a)_R8_C2	PB slice 7-FB layers 3-5-IDFP RB neuron	neuprint_JRC_Hemibrain_1point1	is_a
