object	relation	subject_id	subject_name
left side of organism	has_soma_location	VFB_001027vz	neuron 9883 (FANC:500799)
adult peripheral nervous system	overlaps	VFB_001027w3	neuron 9888 (FANC:500869)
adult ventral nerve cord	overlaps	VFB_001027w3	neuron 9888 (FANC:500869)
left side of organism	has_soma_location	VFB_001027w3	neuron 9888 (FANC:500869)
adult peripheral nervous system	overlaps	VFB_001028fb	neuron 9893 (FANC:517380)
adult ventral nerve cord	overlaps	VFB_001028fb	neuron 9893 (FANC:517380)
left side of organism	has_soma_location	VFB_001028fb	neuron 9893 (FANC:517380)
adult peripheral nervous system	overlaps	VFB_001027w9	neuron 9899 (FANC:500969)
adult ventral nerve cord	overlaps	VFB_001027w9	neuron 9899 (FANC:500969)
left side of organism	has_soma_location	VFB_001027w9	neuron 9899 (FANC:500969)
adult peripheral nervous system	overlaps	VFB_001028fi	neuron 9913 (FANC:517470)
adult ventral nerve cord	overlaps	VFB_001028fi	neuron 9913 (FANC:517470)
left side of organism	has_soma_location	VFB_001028fi	neuron 9913 (FANC:517470)
adult peripheral nervous system	overlaps	VFB_001027wg	neuron 9929 (FANC:501083)
adult ventral nerve cord	overlaps	VFB_001027wg	neuron 9929 (FANC:501083)
left side of organism	has_soma_location	VFB_001027wg	neuron 9929 (FANC:501083)
adult peripheral nervous system	overlaps	VFB_001027wh	neuron 9935 (FANC:501100)
adult ventral nerve cord	overlaps	VFB_001027wh	neuron 9935 (FANC:501100)
left side of organism	has_soma_location	VFB_001027wh	neuron 9935 (FANC:501100)
adult peripheral nervous system	overlaps	VFB_001027xu	neuron 10208 (FANC:502004)
adult ventral nerve cord	overlaps	VFB_001027xu	neuron 10208 (FANC:502004)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027xu	neuron 10208 (FANC:502004)
left side of organism	has_soma_location	VFB_001027xu	neuron 10208 (FANC:502004)
adult peripheral nervous system	overlaps	VFB_001028kf	neuron 10213 (FANC:547875)
adult ventral nerve cord	overlaps	VFB_001028kf	neuron 10213 (FANC:547875)
left side of organism	has_soma_location	VFB_001028kf	neuron 10213 (FANC:547875)
adult peripheral nervous system	overlaps	VFB_001028ki	neuron 10218 (FANC:547915)
adult ventral nerve cord	overlaps	VFB_001028ki	neuron 10218 (FANC:547915)
left side of organism	has_soma_location	VFB_001028ki	neuron 10218 (FANC:547915)
adult peripheral nervous system	overlaps	VFB_001027y0	neuron 10223 (FANC:502119)
adult ventral nerve cord	overlaps	VFB_001027y0	neuron 10223 (FANC:502119)
adult ventral prothoracic nerve	fasciculates_with	VFB_001027y0	neuron 10223 (FANC:502119)
left side of organism	has_soma_location	VFB_001027y0	neuron 10223 (FANC:502119)
adult peripheral nervous system	overlaps	VFB_001028kn	neuron 10228 (FANC:547994)
adult ventral nerve cord	overlaps	VFB_001028kn	neuron 10228 (FANC:547994)
left side of organism	has_soma_location	VFB_001028kn	neuron 10228 (FANC:547994)
adult peripheral nervous system	overlaps	VFB_001028ko	neuron 10233 (FANC:548007)
adult ventral nerve cord	overlaps	VFB_001028ko	neuron 10233 (FANC:548007)
left side of organism	has_soma_location	VFB_001028ko	neuron 10233 (FANC:548007)
adult peripheral nervous system	overlaps	VFB_001028kp	neuron 10238 (FANC:548033)
adult ventral nerve cord	overlaps	VFB_001028kp	neuron 10238 (FANC:548033)
left side of organism	has_soma_location	VFB_001028kp	neuron 10238 (FANC:548033)
adult peripheral nervous system	overlaps	VFB_001028ke	neuron 10243 (FANC:547859)
adult ventral nerve cord	overlaps	VFB_001028ke	neuron 10243 (FANC:547859)
