subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	873148	AN-R-motor-13	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	855719	AN-R-motor-14	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	853526	AN-R-motor-15	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	873782	AN-R-motor-16	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	865801	AN-R-motor-17	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	937332	AN-R-motor-18	is_a	larval antennal-pharyngeal nerve motor neuron	FlyBase:FBrf0240975
catmaid_l1em	3556191	AN-R-Sens-B1-ACa-03	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15559195	AN-R-Sens-B1-ACa-04	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15563553	AN-R-Sens-B1-ACa-05	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15574199	AN-R-Sens-B1-ACa-06	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15548694	AN-R-Sens-B1-ACa-10	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15586536	AN-R-Sens-B1-ACa-11	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15573381	AN-R-Sens-B1-ACa-12	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15561413	AN-R-Sens-B1-ACa-13	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15548107	AN-R-Sens-B1-ACa-17	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15564911	AN-R-Sens-B1-AVa-27	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15569561	AN-R-Sens-B1-AVa-28	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15564661	AN-R-Sens-B1-AVa-29	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15546924	AN-R-Sens-B1-AVa-30	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15543394	AN-R-Sens-B1-AVa-31	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
